canonical,year,file_type,var_code,label,category,dtype,required,transform
ira_any,1999,WLTH,S413,,Retirement/IRA,,0,
ira_any_A,1999,WLTH,S413A,,Retirement/IRA,,0,
ira_aux1,1999,WLTH,S419,,Retirement/IRA,,0,
ira_aux1_A,1999,WLTH,S419A,,Retirement/IRA,,0,
ira_aux2,1999,WLTH,S420,,Retirement/IRA,,0,
ira_aux2_A,1999,WLTH,S420A,,Retirement/IRA,,0,
ira_balance,1999,WLTH,S415,,Retirement/IRA,,0,
ira_balance_A,1999,WLTH,S415A,,Retirement/IRA,,0,
ira_contrib,1999,WLTH,S416,,Retirement/IRA,,0,
ira_contrib_A,1999,WLTH,S416A,,Retirement/IRA,,0,
ira_num,1999,WLTH,S414,,Retirement/IRA,,0,
ira_num_A,1999,WLTH,S414A,,Retirement/IRA,,0,
ira_type,1999,WLTH,S418,,Retirement/IRA,,0,
ira_type_A,1999,WLTH,S418A,,Retirement/IRA,,0,
ira_withdrawal,1999,WLTH,S417,,Retirement/IRA,,0,
ira_withdrawal_A,1999,WLTH,S417A,,Retirement/IRA,,0,
wlth_s400,1999,WLTH,S400,,Assets/Debt,,0,
wlth_s401,1999,WLTH,S401,,Assets/Debt,,0,
wlth_s402,1999,WLTH,S402,,Assets/Debt,,0,
wlth_s402a,1999,WLTH,S402A,,Assets/Debt,,0,
wlth_s403,1999,WLTH,S403,,Assets/Debt,,0,
wlth_s403a,1999,WLTH,S403A,,Assets/Debt,,0,
wlth_s404,1999,WLTH,S404,,Assets/Debt,,0,
wlth_s404a,1999,WLTH,S404A,,Assets/Debt,,0,
wlth_s405,1999,WLTH,S405,,Assets/Debt,,0,
wlth_s405a,1999,WLTH,S405A,,Assets/Debt,,0,
wlth_s406,1999,WLTH,S406,,Assets/Debt,,0,
wlth_s406a,1999,WLTH,S406A,,Assets/Debt,,0,
wlth_s407,1999,WLTH,S407,,Assets/Debt,,0,
wlth_s407a,1999,WLTH,S407A,,Assets/Debt,,0,
wlth_s408,1999,WLTH,S408,,Assets/Debt,,0,
wlth_s408a,1999,WLTH,S408A,,Assets/Debt,,0,
wlth_s409,1999,WLTH,S409,,Assets/Debt,,0,
wlth_s409a,1999,WLTH,S409A,,Assets/Debt,,0,
wlth_s410,1999,WLTH,S410,,Assets/Debt,,0,
wlth_s410a,1999,WLTH,S410A,,Assets/Debt,,0,
wlth_s411,1999,WLTH,S411,,Assets/Debt,,0,
wlth_s411a,1999,WLTH,S411A,,Assets/Debt,,0,
ira_any,2001,WLTH,S513,,Retirement/IRA,,0,
ira_any_A,2001,WLTH,S513A,,Retirement/IRA,,0,
ira_aux1,2001,WLTH,S519,,Retirement/IRA,,0,
ira_aux1_A,2001,WLTH,S519A,,Retirement/IRA,,0,
ira_aux2,2001,WLTH,S520,,Retirement/IRA,,0,
ira_aux2_A,2001,WLTH,S520A,,Retirement/IRA,,0,
ira_balance,2001,WLTH,S515,,Retirement/IRA,,0,
ira_balance_A,2001,WLTH,S515A,,Retirement/IRA,,0,
ira_contrib,2001,WLTH,S516,,Retirement/IRA,,0,
ira_contrib_A,2001,WLTH,S516A,,Retirement/IRA,,0,
ira_num,2001,WLTH,S514,,Retirement/IRA,,0,
ira_num_A,2001,WLTH,S514A,,Retirement/IRA,,0,
ira_type,2001,WLTH,S518,,Retirement/IRA,,0,
ira_type_A,2001,WLTH,S518A,,Retirement/IRA,,0,
ira_withdrawal,2001,WLTH,S517,,Retirement/IRA,,0,
ira_withdrawal_A,2001,WLTH,S517A,,Retirement/IRA,,0,
wlth_s500,2001,WLTH,S500,,Assets/Debt,,0,
wlth_s501,2001,WLTH,S501,,Assets/Debt,,0,
wlth_s502,2001,WLTH,S502,,Assets/Debt,,0,
wlth_s502a,2001,WLTH,S502A,,Assets/Debt,,0,
wlth_s503,2001,WLTH,S503,,Assets/Debt,,0,
wlth_s503a,2001,WLTH,S503A,,Assets/Debt,,0,
wlth_s504,2001,WLTH,S504,,Assets/Debt,,0,
wlth_s504a,2001,WLTH,S504A,,Assets/Debt,,0,
wlth_s505,2001,WLTH,S505,,Assets/Debt,,0,
wlth_s505a,2001,WLTH,S505A,,Assets/Debt,,0,
wlth_s506,2001,WLTH,S506,,Assets/Debt,,0,
wlth_s506a,2001,WLTH,S506A,,Assets/Debt,,0,
wlth_s507,2001,WLTH,S507,,Assets/Debt,,0,
wlth_s507a,2001,WLTH,S507A,,Assets/Debt,,0,
wlth_s508,2001,WLTH,S508,,Assets/Debt,,0,
wlth_s508a,2001,WLTH,S508A,,Assets/Debt,,0,
wlth_s509,2001,WLTH,S509,,Assets/Debt,,0,
wlth_s509a,2001,WLTH,S509A,,Assets/Debt,,0,
wlth_s510,2001,WLTH,S510,,Assets/Debt,,0,
wlth_s510a,2001,WLTH,S510A,,Assets/Debt,,0,
wlth_s511,2001,WLTH,S511,,Assets/Debt,,0,
wlth_s511a,2001,WLTH,S511A,,Assets/Debt,,0,
ira_any,2003,WLTH,S613,,Retirement/IRA,,0,
ira_any_A,2003,WLTH,S613A,,Retirement/IRA,,0,
ira_aux1,2003,WLTH,S619,,Retirement/IRA,,0,
ira_aux1_A,2003,WLTH,S619A,,Retirement/IRA,,0,
ira_aux2,2003,WLTH,S620,,Retirement/IRA,,0,
ira_aux2_A,2003,WLTH,S620A,,Retirement/IRA,,0,
ira_balance,2003,WLTH,S615,,Retirement/IRA,,0,
ira_balance_A,2003,WLTH,S615A,,Retirement/IRA,,0,
ira_contrib,2003,WLTH,S616,,Retirement/IRA,,0,
ira_contrib_A,2003,WLTH,S616A,,Retirement/IRA,,0,
ira_num,2003,WLTH,S614,,Retirement/IRA,,0,
ira_num_A,2003,WLTH,S614A,,Retirement/IRA,,0,
ira_type,2003,WLTH,S618,,Retirement/IRA,,0,
ira_type_A,2003,WLTH,S618A,,Retirement/IRA,,0,
ira_withdrawal,2003,WLTH,S617,,Retirement/IRA,,0,
ira_withdrawal_A,2003,WLTH,S617A,,Retirement/IRA,,0,
wlth_s600,2003,WLTH,S600,,Assets/Debt,,0,
wlth_s601,2003,WLTH,S601,,Assets/Debt,,0,
wlth_s602,2003,WLTH,S602,,Assets/Debt,,0,
wlth_s602a,2003,WLTH,S602A,,Assets/Debt,,0,
wlth_s603,2003,WLTH,S603,,Assets/Debt,,0,
wlth_s603a,2003,WLTH,S603A,,Assets/Debt,,0,
wlth_s604,2003,WLTH,S604,,Assets/Debt,,0,
