label,required,canonical,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
# CALLS FOR IW,0,var_1,,,,,,ER46698,ER52098,ER57902,ER65082,ER71165,ER77187,ER81523,ER85380
# CHILDREN IN FU,0,var_2,,,,,,ER42020,ER47320,ER53020,ER60021,ER66021,ER72021,ER78021,ER82022
# IN FU,0,var_3,,,,,,ER42016,ER47316,ER53016,ER60016,ER66016,ER72016,ER78016,ER82017
# NONFU SHARING HU,0,var_4,,,,,,ER42022,ER47322,ER53022,ER60023,ER66023,ER72023,ER78023,ER82024
# OF INDIVIDUAL RECORDS,0,var_5,,,,,,ER46760,ER52168,ER57969,ER65149,ER71226,ER77248,ER81575,ER85429
A19 OWN/RENT OR WHAT,0,var_6,,,,,,ER42029,ER47329,ER53029,ER60030,ER66030,,ER78031,ER82032
A20 HOUSE VALUE,0,var_7,,,,,,ER42030,ER47330,ER53030,ER60031,ER66031,ER72031,ER78032,ER82033
A2019 OWN/RENT OR WHAT,0,var_8,,,,,,,,,,,ER72030,,
A2021 ANNUAL PROPERTY TAX,0,var_9,,,,,,,,,,,,ER78046,
A2023 HAVE MORTGAGE?,0,var_10,,,,,,,,,,,,,ER82050
A2023A TYPE MORTGAGE MOR 1,0,var_11,,,,,,,,,,,,,ER82051
A2023A TYPE MORTGAGE MOR 2,0,var_12,,,,,,,,,,,,,ER82072
A2023B WTR ORIGINAL LOAN/REFINANCED #1,0,var_13,,,,,,,,,,,,,ER82052
A2023B WTR ORIGINAL LOAN/REFINANCED #2,0,var_14,,,,,,,,,,,,,ER82073
"A20A WTR HOUSE WORTH 100,000+",0,var_15,,,,,,ER42032,ER47332,ER53032,ER60033,,ER72033,ER78034,ER82035
"A20A WTR HOUSE WORTH 200,000+",0,var_16,,,,,,,,,,ER66033,,,
A20A1 RENTAL VALUE AMOUNT,0,var_17,,,,,,,,,,ER66038,ER72038,ER78039,ER82040
A20A1 RENTAL VALUE PER,0,var_18,,,,,,,,,,ER66039,ER72039,ER78040,ER82041
"A20B WTR HOUSE WORTH 200,000+",0,var_19,,,,,,ER42033,ER47333,ER53033,ER60034,,ER72034,ER78035,ER82036
"A20B WTR HOUSE WORTH 300,000+",0,var_20,,,,,,,,,,ER66034,,,
"A20C WTR HOUSE WORTH 400,000+",0,var_21,,,,,,ER42034,ER47334,ER53034,ER60035,,ER72035,ER78036,ER82037
"A20C WTR HOUSE WORTH 500,000+",0,var_22,,,,,,,,,,ER66035,,,
"A20D WTR HOUSE WORTH 100,000+",0,var_23,,,,,,,,,,ER66036,,,
"A20D WTR HOUSE WORTH 75,000+",0,var_24,,,,,,ER42035,ER47335,ER53035,ER60036,,ER72036,ER78037,ER82038
"A20E WTR HOUSE WORTH 25,000+",0,var_25,,,,,,ER42036,ER47336,ER53036,ER60037,,ER72037,ER78038,ER82039
"A20E WTR HOUSE WORTH 50,000+",0,var_26,,,,,,,,,,ER66037,,,
A20F WTR RENTS LOT,0,var_27,,,,,,,ER47337,ER53037,ER60038,ER66040,ER72040,ER78041,ER82042
A20G DOLLARS LOT RENT,0,var_28,,,,,,,ER47338,ER53038,ER60039,ER66041,ER72041,ER78042,ER82043
A20G DOLLARS PER WHAT,0,var_29,,,,,,,ER47339,ER53039,ER60040,ER66042,ER72042,ER78043,ER82044
A20H WTR LOT RENT INCUDES WATER/SEWER,0,var_30,,,,,,,ER47341,ER53041,ER60042,ER66044,ER72044,ER78045,ER82046
A21 ANNUAL PROPERTY TAX,0,var_31,,,,,,ER42037,ER47342,ER53042,ER60043,ER66045,ER72045,,ER82047
A22 ANNUAL OWNR INSURANC,0,var_32,,,,,,ER42039,ER47344,ER53044,ER60045,ER66047,ER72047,ER78048,ER82049
A23 HAVE MORTGAGE?,0,var_33,,,,,,ER42040,ER47345,ER53045,ER60046,ER66048,ER72048,ER78049,
A23A TYPE MORTGAGE MOR 1,0,var_34,,,,,,ER42041,ER47346,ER53046,ER60047,ER66049,ER72049,ER78050,
A23A TYPE MORTGAGE MOR 2,0,var_35,,,,,,ER42060,ER47367,ER53067,ER60068,ER66070,ER72070,ER78071,
A23B WTR ORIGINAL LOAN/REFINANCED #1,0,var_36,,,,,,,ER47347,ER53047,ER60048,ER66050,ER72050,ER78051,
A23B WTR ORIGINAL LOAN/REFINANCED #2,0,var_37,,,,,,,ER47368,ER53068,ER60069,ER66071,ER72071,ER78072,
A23C WTR ORIGINAL LOAN/REFINANCED #1,0,var_38,,,,,,ER42042,,,,,,,
A23C WTR ORIGINAL LOAN/REFINANCED #2,0,var_39,,,,,,ER42061,,,,,,,
A24 REM PRINCIPAL MOR 1,0,var_40,,,,,,ER42043,ER47348,ER53048,ER60049,ER66051,ER72051,ER78052,ER82053
A24 REM PRINCIPAL MOR 2,0,var_41,,,,,,ER42062,ER47369,ER53069,ER60070,ER66072,ER72072,ER78073,ER82074
A25 MNTHLY PMTS MOR 1,0,var_42,,,,,,ER42045,ER47350,ER53050,ER60051,ER66053,ER72053,ER78054,ER82055
A25 MNTHLY PMTS MOR 2,0,var_43,,,,,,ER42064,ER47371,ER53071,ER60072,ER66074,ER72074,ER78075,ER82076
A25A CURR INT RATE DECIMAL FRACTION #1,0,var_44,,,,,,ER42048,,,,,,,
A25A CURR INT RATE DECIMAL FRACTION #2,0,var_45,,,,,,ER42067,,,,,,,
A25A CURR INTEREST RATE WHOLE PERCENT #1,0,var_46,,,,,,ER42047,,,,,,,
A25A CURR INTEREST RATE WHOLE PERCENT #2,0,var_47,,,,,,ER42066,,,,,,,
A25A1 MTG INCL PROP TAXES #1,0,var_48,,,,,,,ER47352,ER53052,ER60053,ER66055,ER72055,ER78056,ER82057
A25A1 MTG INCL PROP TAXES #2,0,var_49,,,,,,,ER47373,ER53073,ER60074,ER66076,ER72076,ER78077,ER82078
A25A1 WTR CURR INT RATE FIXED/VARBLE #1,0,var_50,,,,,,ER42049,,,,,,,
A25A1 WTR CURR INT RATE FIXED/VARBLE #2,0,var_51,,,,,,ER42068,,,,,,,
A25A2 MTG INCL INS PREM #1,0,var_52,,,,,,,ER47353,ER53053,ER60054,ER66056,ER72056,ER78057,ER82058
A25A2 MTG INCL INS PREM #2,0,var_53,,,,,,,ER47374,ER53074,ER60075,ER66077,ER72077,ER78078,ER82079
A25A3 WTR CURR INT RATE FIXED/VARBLE #1,0,var_54,,,,,,,ER47354,ER53054,ER60055,ER66057,ER72057,ER78058,ER82059
A25A3 WTR CURR INT RATE FIXED/VARBLE #2,0,var_55,,,,,,,ER47375,ER53075,ER60076,ER66078,ER72078,ER78079,ER82080
A25A4 CURR INT RATE DECIMAL FRACTION #1,0,var_56,,,,,,,ER47356,ER53056,ER60057,ER66059,ER72059,ER78060,ER82061
A25A4 CURR INT RATE DECIMAL FRACTION #2,0,var_57,,,,,,,ER47377,ER53077,ER60078,ER66080,ER72080,ER78081,ER82082
A25A4 CURR INTEREST RATE WHOLE PRCNT #1,0,var_58,,,,,,,ER47355,ER53055,ER60056,ER66058,ER72058,ER78059,ER82060
A25A4 CURR INTEREST RATE WHOLE PRCNT #2,0,var_59,,,,,,,ER47376,ER53076,ER60077,ER66079,ER72079,ER78080,ER82081
A26 YEAR OBTAINED LOAN #1,0,var_60,,,,,,ER42050,ER47357,ER53057,ER60058,ER66060,ER72060,ER78061,ER82062
A26 YEAR OBTAINED LOAN #2,0,var_61,,,,,,ER42069,ER47378,ER53078,ER60079,ER66081,ER72081,ER78082,ER82083
A27 YRS TO PAY MOR # 1,0,var_62,,,,,,,,,ER60059,ER66061,ER72061,ER78062,ER82063
A27 YRS TO PAY MOR # 2,0,var_63,,,,,,,,,ER60080,ER66082,ER72082,ER78083,ER82084
A27 YRS TO PAY MOR 1,0,var_64,,,,,,ER42051,ER47358,ER53058,,,,,
A27 YRS TO PAY MOR 2,0,var_65,,,,,,ER42070,ER47379,ER53079,,,,,
A27A WTR BEHIND ON MTGE # 1,0,var_66,,,,,,,ER47359,ER53059,ER60060,ER66062,ER72062,ER78063,ER82064
A27A WTR BEHIND ON MTGE # 2,0,var_67,,,,,,,ER47380,ER53080,ER60081,ER66083,ER72083,ER78084,ER82085
A27B MONTHS BEHIND ON MTGE # 1,0,var_68,,,,,,,ER47360,ER53060,ER60061,ER66063,ER72063,ER78064,ER82065
A27B MONTHS BEHIND ON MTGE # 2,0,var_69,,,,,,,ER47381,ER53081,ER60082,ER66084,ER72084,ER78085,ER82086
A27C WTR FORECLOSURE ON MTGE # 1,0,var_70,,,,,,,ER47361,ER53061,ER60062,ER66064,ER72064,ER78065,ER82066
A27C WTR FORECLOSURE ON MTGE # 2,0,var_71,,,,,,,ER47382,ER53082,ER60083,ER66085,ER72085,ER78086,ER82087
A27D MONTH FORECLOSURE ON MTGE # 1,0,var_72,,,,,,,ER47362,ER53062,ER60063,ER66065,ER72065,ER78066,ER82067
